Time,LONG,LAT,RSRP,eNB_ID,SCell CellID,Sector
19:50.7,,,,,,
19:50.8,,,-84.6,,,
19:50.8,,,-84.8,,,
19:50.9,,,-84.8,,,
19:51.1,,,-84.8,,,
19:51.3,,,-84.9,,,
19:51.5,,,-84.9,,,
19:51.6,,,,,,
19:51.7,120.53508,30.10218,-84.9,,,
19:51.8,120.53508,30.10218,-85,,,
19:52.1,120.53508,30.10218,-85,,,
19:52.2,120.53508,30.10218,-85,,,
19:52.5,120.53508,30.10218,-85.1,,,
19:52.7,120.53508,30.10218,,,,
19:52.7,120.53509,30.10219,-85.1,,,
19:52.8,120.53509,30.10219,-85.1,,,
19:53.0,120.53509,30.10219,-85.1,,,
19:53.3,120.53509,30.10219,-85.2,,,
19:53.5,120.53509,30.10219,-85.3,,,
19:53.7,120.53509,30.10219,,,,
19:53.7,120.5351,30.10219,-85.4,,,
19:53.8,120.5351,30.10219,-85.4,,,
19:53.9,120.5351,30.10219,-85.4,,,
