Time,LONG,LAT,RSRP,eNB_ID,SCell CellID,Sector,EARFC,SCell PCI,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell RSRP,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell EARFCN,NCell PCI,NCell PCI,NCell PCI,NCell PCI,NCell PCI,NCell PCI,NCell PCI,NCell PCI,NCell PCI
19:50.7,,,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:50.8,,,-84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:50.8,,,-84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:50.9,,,-84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.1,,,-84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.3,,,-84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.5,,,-84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.6,,,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.7,120.53508,30.10218,-84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:51.8,120.53508,30.10218,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.1,120.53508,30.10218,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.2,120.53508,30.10218,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.5,120.53508,30.10218,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.7,120.53508,30.10218,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.7,120.53509,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:52.8,120.53509,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.0,120.53509,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.3,120.53509,30.10219,-85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.5,120.53509,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.7,120.53509,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.7,120.5351,30.10219,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.8,120.5351,30.10219,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:53.9,120.5351,30.10219,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.1,120.5351,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.3,120.5351,30.10219,-85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.5,120.5351,30.10219,-85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.7,120.5351,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.7,120.5351,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:54.9,120.5351,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.1,120.5351,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.3,120.5351,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.5,120.5351,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.7,120.5351,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.7,120.53511,30.10219,-85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:55.9,120.53511,30.10219,-85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.1,120.53511,30.10219,-85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.3,120.53511,30.10219,-85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.5,120.53511,30.10219,-85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.7,120.53511,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.8,120.53512,30.10219,-85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:56.9,120.53512,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.1,120.53512,30.10219,-85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.3,120.53512,30.10219,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.4,120.53512,30.10219,-85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.6,120.53512,30.10219,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.8,120.53512,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.8,120.53512,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:57.8,120.53513,30.1022,-85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.0,120.53513,30.1022,-85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.2,120.53513,30.1022,-85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.3,120.53513,30.1022,-85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.5,120.53513,30.1022,-85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.7,120.53513,30.1022,-85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.8,120.53513,30.1022,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:58.9,120.53513,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.1,120.53513,30.10219,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.3,120.53513,30.10219,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.5,120.53513,30.10219,-84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.7,120.53513,30.10219,-84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.8,120.53513,30.10219,,,,,38500,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:59.9,120.53514,30.10219,-84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00.1,120.53514,30.10219,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00.3,120.53514,30.10219,-85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00.5,120.53514,30.10219,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
